Year,Data
2012-01-01,11.989651
2013-01-01,14.457481
2014-01-01,12.882880
2015-01-01,12.536398
2016-01-01,14.457481
2017-01-01,12.882880
2018-01-01,12.536398
2019-01-01,14.457481
2020-01-01,12.882880
2021-01-01,12.536398
2022-01-01,14.457481
2023-01-01,12.882880
2024-01-01,12.536398
2025-01-01,14.457481
2026-01-01,12.882880
2027-01-01,12.536398
2028-01-01,14.457481
2029-01-01,12.882880
2030-01-01,12.536398
2031-01-01,14.457481
2032-01-01,12.882880
2033-01-01,12.536398
2034-01-01,14.457481
2035-01-01,12.882880
2036-01-01,12.536398
2037-01-01,14.457481
2038-01-01,12.882880
2039-01-01,12.536398
2040-01-01,14.457481
2041-01-01,12.882880
2042-01-01,12.536398
2043-01-01,14.457481
2044-01-01,12.882880
2045-01-01,12.536398
2046-01-01,14.457481
2047-01-01,12.882880
2048-01-01,12.536398
2049-01-01,14.457481
2050-01-01,12.882880
2051-01-01,12.536398
2052-01-01,14.457481
2053-01-01,12.882880
2054-01-01,12.536398
2055-01-01,14.457481
2056-01-01,12.882880
2057-01-01,12.536398
2058-01-01,14.457481
2059-01-01,12.882880
2060-01-01,12.536398
2061-01-01,14.457481
